,date,home_team,score,away_team,,,
173,01-05-2021,Montreal Impact,0 - 0,Columbus Crew,,,
174,08-05-2021,Columbus Crew,1 - 4,DC United,,,
175,12-05-2021,Toronto FC,2 - 0,Columbus Crew,,,
176,16-05-2021,New England Revolution,1 - 0,Columbus Crew,,,
177,22-05-2021,New York City FC,2 - 2,Columbus Crew,,,
178,29-05-2021,Columbus Crew,1 - 3,Toronto FC,,,
179,19-06-2021,Columbus Crew,2 - 0,Chicago Fire,,,
18,15-08-2021,Atlanta United FC,1 - 0,Los Angeles FC,,,
180,23-06-2021,Philadelphia Union,1 - 0,Columbus Crew,,,
181,28-06-2021,Austin,0 - 0,Columbus Crew,,,
182,03-07-2021,Columbus Crew,2 - 3,New England Revolution,,,
183,09-07-2021,FC Cincinnati,2 - 3,Columbus Crew,,,
184,17-07-2021,Columbus Crew,1 - 3,New York City FC,,,
185,21-07-2021,Columbus Crew,0 - 0,Nashville SC (MLS),,,
186,24-07-2021,Atlanta United FC,0 - 1,Columbus Crew,,,
187,30-07-2021,New York City FC,1 - 5,Columbus Crew,,,
188,04-08-2021,Columbus Crew,5 - 3,DC United,,,
189,07-08-2021,Columbus Crew,4 - 4,Atlanta United FC,,,
19,18-08-2021,Atlanta United FC,1 - 0,Toronto FC,,,
190,15-08-2021,Chicago Fire,1 - 0,Columbus Crew,,,
191,19-08-2021,New York Red Bulls,1 - 0,Columbus Crew,,,
192,21-08-2021,Columbus Crew,2 - 2,Seattle Sounders FC,,,
193,27-08-2021,Columbus Crew,2 - 4,FC Cincinnati,,,
194,04-09-2021,Orlando City SC,2 - 4,Columbus Crew,,,
195,12-09-2021,Club Internacional de Fútbol Miami,1 - 0,Columbus Crew,,,
196,14-09-2021,Columbus Crew,1 - 3,New York Red Bulls,,,
197,18-09-2021,New England Revolution,1 - 2,Columbus Crew,,,
198,25-09-2021,Columbus Crew,1 - 3,Montreal Impact,,,
199,03-10-2021,Philadelphia Union,3 - 0,Columbus Crew,,,
2,01-05-2021,New England Revolution,1 - 3,Atlanta United FC,,,
20,22-08-2021,DC United,2 - 2,Atlanta United FC,,,
200,16-10-2021,Columbus Crew,4 - 0,Club Internacional de Fútbol Miami,,,
201,21-10-2021,Nashville SC (MLS),1 - 2,Columbus Crew,,,
202,23-10-2021,Columbus Crew,2 - 2,New York Red Bulls,,,
203,27-10-2021,Columbus Crew,2 - 4,Orlando City SC,,,
204,30-10-2021,DC United,4 - 4,Columbus Crew,,,
205,07-11-2021,Columbus Crew,2 - 0,Chicago Fire,,,
206,18-04-2021,DC United,1 - 3,New York City FC,,,
207,25-04-2021,New England Revolution,1 - 0,DC United,,,
208,02-05-2021,San Jose Earthquakes,1 - 5,DC United,,,
209,08-05-2021,Columbus Crew,1 - 4,DC United,,,
21,28-08-2021,Atlanta United FC,0 - 2,Nashville SC (MLS),,,
210,14-05-2021,DC United,1 - 0,Chicago Fire,,,
211,17-05-2021,DC United,0 - 1,Orlando City SC,,,
212,23-05-2021,DC United,0 - 1,Philadelphia Union,,,
213,30-05-2021,Club Internacional de Fútbol Miami,0 - 3,DC United,,,
214,20-06-2021,DC United,1 - 0,Club Internacional de Fútbol Miami,,,
215,24-06-2021,Montreal Impact,0 - 0,DC United,,,
216,27-06-2021,New York City FC,1 - 3,DC United,,,
217,03-07-2021,DC United,2 - 1,Toronto FC,,,
218,17-07-2021,Philadelphia Union,1 - 3,DC United,,,
219,22-07-2021,Chicago Fire,2 - 3,DC United,,,
22,10-09-2021,Atlanta United FC,3 - 0,Orlando City SC,,,
220,26-07-2021,DC United,1 - 0,New York Red Bulls,,,
221,31-07-2021,FC Cincinnati,0 - 0,DC United,,,
222,04-08-2021,Columbus Crew,5 - 3,DC United,,,
223,09-08-2021,DC United,1 - 3,Montreal Impact,,,
224,15-08-2021,Nashville SC (MLS),3 - 2,DC United,,,
225,18-08-2021,New England Revolution,2 - 4,DC United,,,
226,22-08-2021,DC United,2 - 2,Atlanta United FC,,,
227,29-08-2021,DC United,1 - 4,Philadelphia Union,,,
228,11-09-2021,New York Red Bulls,1 - 2,DC United,,,
229,15-09-2021,DC United,3 - 0,Chicago Fire,,,
23,15-09-2021,Atlanta United FC,4 - 0,FC Cincinnati,,,
230,18-09-2021,Atlanta United FC,2 - 4,DC United,,,
231,25-09-2021,DC United,3 - 1,FC Cincinnati,,,
232,29-09-2021,DC United,1 - 4,Minnesota Utd,,,
233,02-10-2021,Orlando City SC,1 - 3,DC United,,,
234,16-10-2021,DC United,0 - 0,Nashville SC (MLS),,,
235,20-10-2021,DC United,4 - 4,New England Revolution,,,
236,23-10-2021,New York City FC,6 - 0,DC United,,,
237,27-10-2021,DC United,1 - 0,New York Red Bulls,,,
238,30-10-2021,DC United,4 - 4,Columbus Crew,,,
239,07-11-2021,Toronto FC,4 - 4,DC United,,,
24,18-09-2021,Atlanta United FC,2 - 4,DC United,,,
240,18-04-2021,Nashville SC (MLS),2 - 3,FC Cincinnati,,,
241,24-04-2021,New York City FC,5 - 0,FC Cincinnati,,,
242,01-05-2021,Orlando City SC,3 - 0,FC Cincinnati,,,
243,16-05-2021,FC Cincinnati,4 - 4,Club Internacional de Fútbol Miami,,,
244,22-05-2021,Montreal Impact,2 - 2,FC Cincinnati,,,
245,29-05-2021,FC Cincinnati,0 - 1,New England Revolution,,,
246,19-06-2021,FC Cincinnati,0 - 2,Colorado Rapids,,,
247,24-06-2021,Chicago Fire,0 - 1,FC Cincinnati,,,
248,26-06-2021,Toronto FC,0 - 2,FC Cincinnati,,,
249,04-07-2021,Houston Dynamo,1 - 2,FC Cincinnati,,,
25,25-09-2021,Philadelphia Union,1 - 0,Atlanta United FC,,,
250,09-07-2021,FC Cincinnati,2 - 3,Columbus Crew,,,
251,17-07-2021,Montreal Impact,6 - 1,FC Cincinnati,,,
252,22-07-2021,FC Cincinnati,1 - 2,Atlanta United FC,,,
253,25-07-2021,Nashville SC (MLS),3 - 0,FC Cincinnati,,,
254,31-07-2021,FC Cincinnati,0 - 0,DC United,,,
255,05-08-2021,New York Red Bulls,0 - 0,FC Cincinnati,,,
256,07-08-2021,FC Cincinnati,1 - 2,Orlando City SC,,,
257,18-08-2021,FC Cincinnati,0 - 0,Montreal Impact,,,
258,22-08-2021,New England Revolution,1 - 5,FC Cincinnati,,,
259,27-08-2021,Columbus Crew,2 - 4,FC Cincinnati,,,
26,29-09-2021,Atlanta United FC,1 - 0,Club Internacional de Fútbol Miami,,,
260,05-09-2021,FC Cincinnati,0 - 1,Club Internacional de Fútbol Miami,,,
261,12-09-2021,FC Cincinnati,2 - 0,Toronto FC,,,
262,15-09-2021,Atlanta United FC,4 - 0,FC Cincinnati,,,
263,18-09-2021,FC Cincinnati,2 - 2,New York City FC,,,
264,25-09-2021,DC United,3 - 1,FC Cincinnati,,,
265,29-09-2021,Toronto FC,2 - 4,FC Cincinnati,,,
266,02-10-2021,FC Cincinnati,0 - 1,New York Red Bulls,,,
267,10-10-2021,FC Cincinnati,2 - 2,Philadelphia Union,,,
268,16-10-2021,FC Cincinnati,0 - 1,Orlando City SC,,,
269,20-10-2021,FC Cincinnati,5 - 4,Chicago Fire,,,
27,02-10-2021,Montreal Impact,1 - 3,Atlanta United FC,,,
270,24-10-2021,Club Internacional de Fútbol Miami,1 - 6,FC Cincinnati,,,
271,27-10-2021,FC Cincinnati,6 - 2,Nashville SC (MLS),,,
272,31-10-2021,Philadelphia Union,2 - 0,FC Cincinnati,,,
273,07-11-2021,FC Cincinnati,2 - 2,Atlanta United FC,,,
274,18-04-2021,FC Dallas,0 - 0,Colorado Rapids,,,
275,24-04-2021,San Jose Earthquakes,1 - 4,FC Dallas,,,
276,02-05-2021,FC Dallas,1 - 5,Portland Timbers,,,
277,08-05-2021,FC Dallas,1 - 2,Houston Dynamo,,,
278,16-05-2021,Minnesota Utd,1 - 0,FC Dallas,,,
279,23-05-2021,FC Dallas,2 - 3,Real Salt Lake,,,
28,16-10-2021,Toronto FC,0 - 2,Atlanta United FC,,,
280,30-05-2021,Colorado Rapids,3 - 0,FC Dallas,,,
281,20-06-2021,FC Dallas,1 - 2,Minnesota Utd,,,
282,24-06-2021,Los Angeles FC,2 - 0,FC Dallas,,,
283,28-06-2021,FC Dallas,1 - 3,New England Revolution,,,
284,05-07-2021,FC Dallas,2 - 3,Vancouver Whitecaps,,,
285,08-07-2021,LA Galaxy,1 - 4,FC Dallas,,,
286,18-07-2021,Portland Timbers,1 - 0,FC Dallas,,,
287,22-07-2021,Colorado Rapids,2 - 0,FC Dallas,,,
288,25-07-2021,FC Dallas,4 - 0,LA Galaxy,,,
289,01-08-2021,Sporting Kansas City,2 - 2,FC Dallas,,,
29,20-10-2021,Atlanta United FC,1 - 2,New York City FC,,,
290,05-08-2021,Seattle Sounders FC,1 - 2,FC Dallas,,,
291,08-08-2021,FC Dallas,2 - 0,Austin,,,
292,15-08-2021,FC Dallas,0 - 2,Sporting Kansas City,,,
293,19-08-2021,FC Dallas,0 - 1,Seattle Sounders FC,,,
294,22-08-2021,Houston Dynamo,2 - 3,FC Dallas,,,
295,30-08-2021,Austin,6 - 2,FC Dallas,,,
296,05-09-2021,Real Salt Lake,2 - 4,FC Dallas,,,
297,12-09-2021,FC Dallas,1 - 2,San Jose Earthquakes,,,
298,14-09-2021,New York City FC,5 - 1,FC Dallas,,,
299,19-09-2021,Houston Dynamo,2 - 4,FC Dallas,,,
3,09-05-2021,Club Internacional de Fútbol Miami,1 - 2,Atlanta United FC,,,
30,27-10-2021,Atlanta United FC,1 - 3,Club Internacional de Fútbol Miami,,,
300,26-09-2021,Vancouver Whitecaps,1 - 0,FC Dallas,,,
301,30-09-2021,FC Dallas,4 - 4,Sporting Kansas City,,,
302,03-10-2021,FC Dallas,0 - 0,Minnesota Utd,,,
303,21-10-2021,FC Dallas,4 - 4,Los Angeles FC,,,
304,24-10-2021,LA Galaxy,2 - 3,FC Dallas,,,
305,28-10-2021,FC Dallas,2 - 2,Real Salt Lake,,,
306,31-10-2021,FC Dallas,1 - 3,Austin,,,
307,07-11-2021,San Jose Earthquakes,1 - 2,FC Dallas,,,
308,17-04-2021,Houston Dynamo,1 - 3,San Jose Earthquakes,,,
309,25-04-2021,Portland Timbers,1 - 3,Houston Dynamo,,,
31,30-10-2021,Atlanta United FC,1 - 2,Toronto FC,,,
310,01-05-2021,Houston Dynamo,1 - 2,Los Angeles FC,,,
311,08-05-2021,FC Dallas,1 - 2,Houston Dynamo,,,
312,13-05-2021,Houston Dynamo,1 - 0,Sporting Kansas City,,,
313,16-05-2021,Colorado Rapids,1 - 4,Houston Dynamo,,,
314,23-05-2021,Houston Dynamo,1 - 3,Vancouver Whitecaps,,,
315,30-05-2021,Sporting Kansas City,2 - 4,Houston Dynamo,,,
316,20-06-2021,Los Angeles FC,1 - 2,Houston Dynamo,,,
317,24-06-2021,Houston Dynamo,2 - 3,Portland Timbers,,,
318,27-06-2021,Real Salt Lake,1 - 2,Houston Dynamo,,,
319,04-07-2021,Houston Dynamo,1 - 2,FC Cincinnati,,,
32,03-11-2021,New York Red Bulls,0 - 0,Atlanta United FC,,,
320,08-07-2021,Seattle Sounders FC,2 - 0,Houston Dynamo,,,
321,21-07-2021,Vancouver Whitecaps,0 - 0,Houston Dynamo,,,
322,25-07-2021,San Jose Earthquakes,1 - 2,Houston Dynamo,,,
323,01-08-2021,Houston Dynamo,0 - 0,Real Salt Lake,,,
324,05-08-2021,Austin,2 - 4,Houston Dynamo,,,
325,08-08-2021,Minnesota Utd,2 - 0,Houston Dynamo,,,
326,15-08-2021,Houston Dynamo,4 - 4,Colorado Rapids,,,
327,19-08-2021,Real Salt Lake,1 - 3,Houston Dynamo,,,
328,22-08-2021,Houston Dynamo,2 - 3,FC Dallas,,,
329,29-08-2021,Houston Dynamo,2 - 2,Minnesota Utd,,,
33,07-11-2021,FC Cincinnati,2 - 2,Atlanta United FC,,,
330,04-09-2021,Houston Dynamo,0 - 2,Portland Timbers,,,
331,12-09-2021,Houston Dynamo,3 - 0,Austin,,,
332,16-09-2021,LA Galaxy,1 - 2,Houston Dynamo,,,
333,19-09-2021,Houston Dynamo,2 - 4,FC Dallas,,,
334,26-09-2021,Minnesota Utd,2 - 0,Houston Dynamo,,,
335,30-09-2021,Houston Dynamo,0 - 0,Vancouver Whitecaps,,,
336,03-10-2021,Sporting Kansas City,3 - 1,Houston Dynamo,,,
337,17-10-2021,Houston Dynamo,1 - 3,Seattle Sounders FC,,,
338,21-10-2021,Houston Dynamo,0 - 3,LA Galaxy,,,
339,24-10-2021,Austin,1 - 3,Houston Dynamo,,,
34,21-11-2021,New York City FC,2 - 0,Atlanta United FC,,,
340,31-10-2021,Houston Dynamo,0 - 1,Colorado Rapids,,,
341,03-11-2021,Montreal Impact,2 - 0,Houston Dynamo,,,
342,18-04-2021,Club Internacional de Fútbol Miami,4 - 4,LA Galaxy,,,
343,25-04-2021,LA Galaxy,2 - 4,New York Red Bulls,,,
344,03-05-2021,Seattle Sounders FC,3 - 0,LA Galaxy,,,
345,09-05-2021,LA Galaxy,1 - 3,Los Angeles FC,,,
346,15-05-2021,LA Galaxy,2 - 0,Austin,,,
347,22-05-2021,Portland Timbers,3 - 0,LA Galaxy,,,
348,29-05-2021,LA Galaxy,1 - 0,San Jose Earthquakes,,,
349,20-06-2021,LA Galaxy,2 - 2,Seattle Sounders FC,,,
35,18-04-2021,Los Angeles FC,2 - 0,Austin,,,
350,24-06-2021,Vancouver Whitecaps,2 - 2,LA Galaxy,,,
351,27-06-2021,San Jose Earthquakes,4 - 4,LA Galaxy,,,
352,05-07-2021,LA Galaxy,0 - 2,Sporting Kansas City,,,
353,08-07-2021,LA Galaxy,1 - 4,FC Dallas,,,
354,18-07-2021,Vancouver Whitecaps,1 - 3,LA Galaxy,,,
355,22-07-2021,Real Salt Lake,2 - 3,LA Galaxy,,,
356,25-07-2021,FC Dallas,4 - 0,LA Galaxy,,,
357,31-07-2021,LA Galaxy,1 - 5,Portland Timbers,,,
358,05-08-2021,LA Galaxy,1 - 0,Real Salt Lake,,,
359,09-08-2021,LA Galaxy,1 - 2,Vancouver Whitecaps,,,
36,25-04-2021,Colorado Rapids,4 - 4,Austin,,,
360,14-08-2021,Minnesota Utd,0 - 1,LA Galaxy,,,
361,18-08-2021,LA Galaxy,2 - 2,Colorado Rapids,,,
362,21-08-2021,LA Galaxy,2 - 2,San Jose Earthquakes,,,
363,28-08-2021,Los Angeles FC,5 - 1,LA Galaxy,,,
364,11-09-2021,Colorado Rapids,1 - 2,LA Galaxy,,,
365,16-09-2021,LA Galaxy,1 - 2,Houston Dynamo,,,
366,19-09-2021,Minnesota Utd,3 - 0,LA Galaxy,,,
367,27-09-2021,Austin,2 - 0,LA Galaxy,,,
368,30-09-2021,Real Salt Lake,1 - 3,LA Galaxy,,,
369,04-10-2021,LA Galaxy,1 - 2,Los Angeles FC,,,
37,02-05-2021,Minnesota Utd,0 - 1,Austin,,,
370,17-10-2021,LA Galaxy,1 - 3,Portland Timbers,,,
371,21-10-2021,Houston Dynamo,0 - 3,LA Galaxy,,,
372,24-10-2021,LA Galaxy,2 - 3,FC Dallas,,,
373,28-10-2021,Sporting Kansas City,2 - 0,LA Galaxy,,,
374,02-11-2021,Seattle Sounders FC,1 - 2,LA Galaxy,,,
375,07-11-2021,LA Galaxy,5 - 1,Minnesota Utd,,,
376,18-04-2021,Los Angeles FC,2 - 0,Austin,,,
377,25-04-2021,Los Angeles FC,1 - 2,Seattle Sounders FC,,,
378,01-05-2021,Houston Dynamo,1 - 2,Los Angeles FC,,,
379,09-05-2021,LA Galaxy,1 - 3,Los Angeles FC,,,
38,09-05-2021,Sporting Kansas City,1 - 3,Austin,,,
380,17-05-2021,Seattle Sounders FC,2 - 0,Los Angeles FC,,,
381,23-05-2021,Los Angeles FC,1 - 3,Colorado Rapids,,,
382,29-05-2021,Los Angeles FC,2 - 2,New York City FC,,,
383,20-06-2021,Los Angeles FC,1 - 2,Houston Dynamo,,,
384,24-06-2021,Los Angeles FC,2 - 0,FC Dallas,,,
385,26-06-2021,Sporting Kansas City,1 - 3,Los Angeles FC,,,
386,04-07-2021,Real Salt Lake,0 - 1,Los Angeles FC,,,
387,08-07-2021,Austin,0 - 2,Los Angeles FC,,,
388,18-07-2021,Los Angeles FC,1 - 3,Real Salt Lake,,,
389,22-07-2021,Portland Timbers,1 - 3,Los Angeles FC,,,
39,15-05-2021,LA Galaxy,2 - 0,Austin,,,
390,25-07-2021,Los Angeles FC,2 - 3,Vancouver Whitecaps,,,
391,29-07-2021,Los Angeles FC,2 - 3,Minnesota Utd,,,
392,05-08-2021,Los Angeles FC,5 - 2,Sporting Kansas City,,,
393,08-08-2021,San Jose Earthquakes,1 - 3,Los Angeles FC,,,
394,15-08-2021,Atlanta United FC,1 - 0,Los Angeles FC,,,
395,22-08-2021,Vancouver Whitecaps,1 - 3,Los Angeles FC,,,
396,28-08-2021,Los Angeles FC,5 - 1,LA Galaxy,,,
397,04-09-2021,Los Angeles FC,4 - 0,Sporting Kansas City,,,
398,13-09-2021,Los Angeles FC,2 - 4,Real Salt Lake,,,
399,16-09-2021,Austin,2 - 2,Los Angeles FC,,,
